country,year,HIV.perc
Algeria,1983,NA
American Samoa,1983,NA
Andorra,1983,NA
Angola,1983,NA
Anguilla,1983,NA
Antigua and Barbuda,1983,NA
Argentina,1983,NA
Armenia,1983,NA
Aruba,1983,NA
Australia,1983,0.012682938
Austria,1983,NA
Azerbaijan,1983,NA
Bahamas,1983,NA
Bahrain,1983,NA
Bangladesh,1983,NA
Barbados,1983,NA
Belarus,1983,NA
Belgium,1983,NA
Belize,1983,NA
Benin,1983,NA
Bermuda,1983,NA
Bhutan,1983,NA
Bolivia,1983,NA
Bosnia and Herzegovina,1983,NA
Botswana,1983,NA
Brazil,1983,NA
British Virgin Islands,1983,NA
Brunei,1983,NA
Bulgaria,1983,NA
Burkina Faso,1983,NA
Burundi,1983,NA
Cambodia,1983,NA
Cameroon,1983,NA
Canada,1983,NA
Cape Verde,1983,NA
Cayman Islands,1983,NA
Central African Republic,1983,NA
Chad,1983,NA
Channel Islands,1983,NA
Chile,1983,NA
China,1983,NA
Christmas Island,1983,NA
Cocos Island,1983,NA
Colombia,1983,NA
Comoros,1983,NA
"Congo, Dem. Rep.",1983,NA
"Congo, Rep.",1983,NA
Cook Is,1983,NA
Costa Rica,1983,NA
Cote d'Ivoire,1983,NA
Croatia,1983,NA
Cuba,1983,NA
Cyprus,1983,NA
Czech Republic,1983,NA
Czechoslovakia,1983,NA
Denmark,1983,NA
Djibouti,1983,0.012392677
Dominica,1983,NA
Dominican Republic,1983,NA
East Germany,1983,NA
Ecuador,1983,NA
Egypt,1983,NA
El Salvador,1983,NA
Equatorial Guinea,1983,NA
Eritrea,1983,NA
Eritrea and Ethiopia,1983,NA
Estonia,1983,NA
Ethiopia,1983,NA
Faeroe Islands,1983,NA
Falkland Is (Malvinas),1983,NA
Fiji,1983,NA
Finland,1983,0.010557622
France,1983,NA
French Guiana,1983,NA
French Polynesia,1983,NA
Gabon,1983,NA
Gambia,1983,NA
Georgia,1983,NA
Germany,1983,NA
Ghana,1983,NA
Gibraltar,1983,NA
Greece,1983,NA
Greenland,1983,NA
Grenada,1983,NA
Guadeloupe,1983,NA
Guam,1983,NA
Guatemala,1983,NA
Guernsey,1983,NA
Guinea,1983,NA
Guinea-Bissau,1983,NA
Guyana,1983,NA
Haiti,1983,NA
Holy See,1983,NA
Honduras,1983,NA
"Hong Kong, China",1983,NA
Hungary,1983,NA
Iceland,1983,NA
India,1983,NA
Indonesia,1983,NA
Iran,1983,NA
Iraq,1983,NA
Ireland,1983,NA
Isle of Man,1983,NA
Israel,1983,NA
Italy,1983,NA
Jamaica,1983,NA
Japan,1983,NA
Jersey,1983,NA
Jordan,1983,NA
Kazakhstan,1983,NA
Kenya,1983,NA
Kiribati,1983,NA
North Korea,1983,NA
South Korea,1983,NA
"United Korea (former)
",1983,NA
Kosovo,1983,NA
Kuwait,1983,NA
Kyrgyz Republic,1983,NA
Lao,1983,NA
Latvia,1983,NA
Lebanon,1983,NA
Lesotho,1983,NA
Liberia,1983,NA
Libya,1983,NA
Liechtenstein,1983,NA
Lithuania,1983,NA
Luxembourg,1983,NA
"Macao, China",1983,NA
"Macedonia, FYR",1983,NA
Madagascar,1983,NA
Malawi,1983,NA
Malaysia,1983,NA
Maldives,1983,NA
Mali,1983,NA
Malta,1983,NA
Marshall Islands,1983,NA
Martinique,1983,NA
Mauritania,1983,NA
Mauritius,1983,NA
Mayotte,1983,NA
Mexico,1983,NA
"Micronesia, Fed. Sts.",1983,NA
Moldova,1983,NA
Monaco,1983,NA
Mongolia,1983,NA
Montenegro,1983,NA
Montserrat,1983,NA
Morocco,1983,NA
Mozambique,1983,NA
Myanmar,1983,NA
Namibia,1983,NA
Nauru,1983,NA
Nepal,1983,NA
Netherlands,1983,NA
Netherlands Antilles,1983,NA
New Caledonia,1983,NA
New Zealand,1983,NA
Ngorno-Karabakh,1983,NA
Nicaragua,1983,NA
Niger,1983,0.011430135
Nigeria,1983,NA
Niue,1983,NA
Norfolk Island,1983,NA
Northern Cyprus,1983,NA
Northern Mariana Islands,1983,NA
Norway,1983,0.014449506
Oman,1983,NA
Pakistan,1983,NA
Palau,1983,NA
Panama,1983,NA
Papua New Guinea,1983,NA
Paraguay,1983,0.00974306
Peru,1983,NA
Philippines,1983,NA
Pitcairn,1983,NA
Poland,1983,NA
Portugal,1983,NA
Puerto Rico,1983,NA
Qatar,1983,NA
Reunion,1983,NA
Romania,1983,NA
Russia,1983,NA
Rwanda,1983,NA
St. BarthÃ©lemy,1983,NA
St. Helena,1983,NA
St. Kitts and Nevis,1983,NA
St. Lucia,1983,NA
St. Martin,1983,NA
St. Vincent and the Grenadines,1983,NA
St.-Pierre-et-Miquelon,1983,NA
Samoa,1983,NA
San Marino,1983,NA
Sao Tome and Principe,1983,NA
Saudi Arabia,1983,NA
Senegal,1983,NA
Serbia,1983,NA
Serbia and Montenegro,1983,NA
Serbia excluding Kosovo,1983,NA
Seychelles,1983,NA
Sierra Leone,1983,NA
Singapore,1983,NA
Slovak Republic,1983,NA
Slovenia,1983,NA
Solomon Islands,1983,NA
Somalia,1983,NA
Somaliland,1983,NA
South Africa,1983,NA
South Ossetia,1983,NA
Spain,1983,NA
Sri Lanka,1983,NA
Sudan,1983,NA
Suriname,1983,NA
Svalbard,1983,NA
Swaziland,1983,NA
Sweden,1983,0.019136463
Switzerland,1983,NA
Syria,1983,NA
Taiwan,1983,NA
Tajikistan,1983,NA
Tanzania,1983,NA
Thailand,1983,NA
Timor-Leste,1983,NA
Togo,1983,NA
Tokelau,1983,NA
Tonga,1983,NA
Transnistria,1983,NA
Trinidad and Tobago,1983,NA
Tunisia,1983,NA
Turkey,1983,NA
Turkmenistan,1983,NA
Turks and Caicos Islands,1983,NA
Tuvalu,1983,NA
Uganda,1983,NA
Ukraine,1983,NA
United Arab Emirates,1983,NA
United Kingdom,1983,0.019257422
United States,1983,NA
Uruguay,1983,NA
USSR,1983,NA
Uzbekistan,1983,NA
Wallis et Futuna,1983,NA
Vanuatu,1983,NA
Venezuela,1983,NA
West Bank and Gaza,1983,NA
West Germany,1983,NA
Western Sahara,1983,NA
Vietnam,1983,NA
Virgin Islands (U.S.),1983,NA
North Yemen (former),1983,NA
South Yemen (former),1983,NA
Yemen,1983,NA
Yugoslavia,1983,NA
Zambia,1983,NA
Zimbabwe,1983,NA
Ã…land,1983,NA
South Sudan,1983,NA
Christian,1983,NA
Coastline,1983,NA
CuraÃ§ao,1983,NA
Sint Maarten (Dutch part),1983,NA
St. Martin (French part),1983,NA
Antarctica,1983,NA
"Virgin Islands, British",1983,NA
Hawaiian Trade Zone,1983,NA
U.S. Pacific Islands,1983,NA
Wake Island,1983,NA
Bonaire,1983,NA
Sark,1983,NA
Chinese Taipei,1983,NA
Saint Eustatius,1983,NA
Saba,1983,NA
Abkhazia,1984,NA
Afghanistan,1984,NA
Akrotiri and Dhekelia,1984,NA
Albania,1984,NA
Algeria,1984,NA
American Samoa,1984,NA
Andorra,1984,NA
Angola,1984,NA
Anguilla,1984,NA
Antigua and Barbuda,1984,NA
Argentina,1984,NA
Armenia,1984,NA
Aruba,1984,NA
Australia,1984,NA
Austria,1984,NA
Azerbaijan,1984,NA
Bahamas,1984,NA
Bahrain,1984,NA
Bangladesh,1984,NA
Barbados,1984,NA
Belarus,1984,NA
Belgium,1984,NA
Belize,1984,NA
Benin,1984,0.011875633
Bermuda,1984,NA
Bhutan,1984,NA
Bolivia,1984,NA
Bosnia and Herzegovina,1984,NA
Botswana,1984,NA
Brazil,1984,NA
British Virgin Islands,1984,NA
Brunei,1984,NA
Bulgaria,1984,NA
Burkina Faso,1984,NA
Burundi,1984,NA
Cambodia,1984,NA
Cameroon,1984,NA
Canada,1984,NA
Cape Verde,1984,NA
Cayman Islands,1984,NA
Central African Republic,1984,NA
Chad,1984,NA
Channel Islands,1984,NA
Chile,1984,NA
China,1984,NA
Christmas Island,1984,NA
Cocos Island,1984,NA
Colombia,1984,0.012153094
Comoros,1984,NA
"Congo, Dem. Rep.",1984,NA
"Congo, Rep.",1984,NA
Cook Is,1984,NA
Costa Rica,1984,NA
Cote d'Ivoire,1984,NA
Croatia,1984,NA
Cuba,1984,NA
Cyprus,1984,NA
Czech Republic,1984,NA
Czechoslovakia,1984,NA
Denmark,1984,NA
Djibouti,1984,NA
Dominica,1984,NA
Dominican Republic,1984,NA
East Germany,1984,NA
Ecuador,1984,NA
Egypt,1984,NA
El Salvador,1984,NA
Equatorial Guinea,1984,NA
Eritrea,1984,NA
Eritrea and Ethiopia,1984,NA
Estonia,1984,NA
Ethiopia,1984,NA
Faeroe Islands,1984,NA
Falkland Is (Malvinas),1984,NA
Fiji,1984,NA
Finland,1984,NA
France,1984,NA
French Guiana,1984,NA
French Polynesia,1984,NA
Gabon,1984,NA
Gambia,1984,NA
Georgia,1984,NA
Germany,1984,NA
Ghana,1984,NA
Gibraltar,1984,NA
Greece,1984,NA
Greenland,1984,NA
Grenada,1984,NA
Guadeloupe,1984,NA
Guam,1984,NA
Guatemala,1984,NA
Guernsey,1984,NA
Guinea,1984,NA
Guinea-Bissau,1984,NA
Guyana,1984,NA
Haiti,1984,NA
Holy See,1984,NA
Honduras,1984,NA
"Hong Kong, China",1984,NA
Hungary,1984,NA
Iceland,1984,NA
India,1984,NA
Indonesia,1984,NA
Iran,1984,NA
Iraq,1984,NA
Ireland,1984,NA
Isle of Man,1984,NA
Israel,1984,NA
Italy,1984,NA
Jamaica,1984,NA
Japan,1984,NA
Jersey,1984,NA
Jordan,1984,NA
Kazakhstan,1984,NA
Kenya,1984,NA
Kiribati,1984,NA
North Korea,1984,NA
South Korea,1984,NA
"United Korea (former)
",1984,NA
Kosovo,1984,NA
Kuwait,1984,NA
Kyrgyz Republic,1984,NA
Lao,1984,NA
Latvia,1984,NA
Lebanon,1984,NA
Lesotho,1984,0.011079346
Liberia,1984,NA
Libya,1984,NA
Liechtenstein,1984,NA
Lithuania,1984,NA
Luxembourg,1984,NA
"Macao, China",1984,NA
"Macedonia, FYR",1984,NA
Madagascar,1984,NA
Malawi,1984,NA
Malaysia,1984,NA
Maldives,1984,NA
Mali,1984,NA
Malta,1984,NA
Marshall Islands,1984,NA
Martinique,1984,NA
Mauritania,1984,NA
Mauritius,1984,NA
Mayotte,1984,NA
Mexico,1984,NA
"Micronesia, Fed. Sts.",1984,NA
Moldova,1984,NA
Monaco,1984,NA
Mongolia,1984,NA
Montenegro,1984,NA
Montserrat,1984,NA
Morocco,1984,NA
Mozambique,1984,NA
Myanmar,1984,NA
Namibia,1984,NA
Nauru,1984,NA
Nepal,1984,NA
Netherlands,1984,NA
Netherlands Antilles,1984,NA
New Caledonia,1984,NA
New Zealand,1984,NA
Ngorno-Karabakh,1984,NA
Nicaragua,1984,NA
Niger,1984,NA
Nigeria,1984,NA
Niue,1984,NA
Norfolk Island,1984,NA
Northern Cyprus,1984,NA
Northern Mariana Islands,1984,NA
Norway,1984,NA
Oman,1984,NA
Pakistan,1984,NA
Palau,1984,NA
Panama,1984,NA
Papua New Guinea,1984,NA
Paraguay,1984,NA
Peru,1984,NA
Philippines,1984,NA
Pitcairn,1984,NA
Poland,1984,NA
Portugal,1984,NA
Puerto Rico,1984,NA
Qatar,1984,NA
Reunion,1984,NA
Romania,1984,NA
Russia,1984,NA
Rwanda,1984,NA
St. BarthÃ©lemy,1984,NA
St. Helena,1984,NA
St. Kitts and Nevis,1984,NA
St. Lucia,1984,NA
St. Martin,1984,NA
St. Vincent and the Grenadines,1984,NA
St.-Pierre-et-Miquelon,1984,NA
Samoa,1984,NA
San Marino,1984,NA
Sao Tome and Principe,1984,NA
Saudi Arabia,1984,NA
Senegal,1984,NA
Serbia,1984,NA
Serbia and Montenegro,1984,NA
Serbia excluding Kosovo,1984,NA
Seychelles,1984,NA
Sierra Leone,1984,NA
Singapore,1984,NA
Slovak Republic,1984,NA
Slovenia,1984,NA
Solomon Islands,1984,NA
Somalia,1984,NA
Somaliland,1984,NA
South Africa,1984,NA
South Ossetia,1984,NA
Spain,1984,NA
Sri Lanka,1984,NA
Sudan,1984,NA
Suriname,1984,NA
Svalbard,1984,NA
Swaziland,1984,NA
Sweden,1984,NA
Switzerland,1984,NA
Syria,1984,NA
Taiwan,1984,NA
Tajikistan,1984,NA
Tanzania,1984,NA
Thailand,1984,NA
Timor-Leste,1984,NA
Togo,1984,NA
Tokelau,1984,NA
Tonga,1984,NA
Transnistria,1984,NA
Trinidad and Tobago,1984,NA
Tunisia,1984,NA
Turkey,1984,NA
Turkmenistan,1984,NA
Turks and Caicos Islands,1984,NA
Tuvalu,1984,NA
Uganda,1984,NA
Ukraine,1984,NA
United Arab Emirates,1984,NA
United Kingdom,1984,NA
United States,1984,NA
Uruguay,1984,NA
USSR,1984,NA
Uzbekistan,1984,NA
Wallis et Futuna,1984,NA
Vanuatu,1984,NA
Venezuela,1984,NA
West Bank and Gaza,1984,NA
West Germany,1984,NA
Western Sahara,1984,NA
Vietnam,1984,NA
Virgin Islands (U.S.),1984,NA
North Yemen (former),1984,NA
South Yemen (former),1984,NA
Yemen,1984,NA
Yugoslavia,1984,NA
Zambia,1984,NA
Zimbabwe,1984,NA
Ã…land,1984,NA
South Sudan,1984,NA
Christian,1984,NA
Coastline,1984,NA
CuraÃ§ao,1984,NA
Sint Maarten (Dutch part),1984,NA
St. Martin (French part),1984,NA
Antarctica,1984,NA
"Virgin Islands, British",1984,NA
Hawaiian Trade Zone,1984,NA
U.S. Pacific Islands,1984,NA
Wake Island,1984,NA
Bonaire,1984,NA
Sark,1984,NA
Chinese Taipei,1984,NA
Saint Eustatius,1984,NA
Saba,1984,NA
Abkhazia,1985,NA
Afghanistan,1985,NA
Akrotiri and Dhekelia,1985,NA
Albania,1985,NA
Algeria,1985,NA
American Samoa,1985,NA
Andorra,1985,NA
Angola,1985,NA
Anguilla,1985,NA
Antigua and Barbuda,1985,NA
Argentina,1985,NA
Armenia,1985,NA
Aruba,1985,NA
Australia,1985,NA
Austria,1985,NA
Azerbaijan,1985,NA
Bahamas,1985,NA
Bahrain,1985,NA
Bangladesh,1985,NA
Barbados,1985,NA
Belarus,1985,NA
Belgium,1985,NA
Belize,1985,NA
Benin,1985,NA
Bermuda,1985,NA
Bhutan,1985,NA
Bolivia,1985,NA
Bosnia and Herzegovina,1985,NA
Botswana,1985,NA
Brazil,1985,NA
British Virgin Islands,1985,NA
Brunei,1985,NA
Bulgaria,1985,NA
Burkina Faso,1985,NA
Burundi,1985,NA
Cambodia,1985,0.01
Cameroon,1985,NA
Canada,1985,NA
Cape Verde,1985,NA
Cayman Islands,1985,NA
Central African Republic,1985,NA
Chad,1985,NA
Channel Islands,1985,NA
Chile,1985,0.009688619
China,1985,NA
Christmas Island,1985,NA
Cocos Island,1985,NA
Colombia,1985,NA
Comoros,1985,NA
"Congo, Dem. Rep.",1985,NA
"Congo, Rep.",1985,NA
Cook Is,1985,NA
Costa Rica,1985,NA
Cote d'Ivoire,1985,NA
Croatia,1985,NA
Cuba,1985,NA
Cyprus,1985,NA
Czech Republic,1985,NA
Czechoslovakia,1985,NA
Denmark,1985,NA
Djibouti,1985,NA
Dominica,1985,NA
Dominican Republic,1985,NA
East Germany,1985,NA
Ecuador,1985,NA
Egypt,1985,NA
El Salvador,1985,0.012269586
Equatorial Guinea,1985,NA
Eritrea,1985,0.010873503
Eritrea and Ethiopia,1985,NA
Estonia,1985,NA
Ethiopia,1985,NA
Faeroe Islands,1985,NA
Falkland Is (Malvinas),1985,NA
Fiji,1985,NA
Finland,1985,NA
France,1985,NA
French Guiana,1985,NA
French Polynesia,1985,NA
Gabon,1985,NA
Gambia,1985,NA
Georgia,1985,NA
Germany,1985,NA
Ghana,1985,NA
Gibraltar,1985,NA
Greece,1985,NA
Greenland,1985,NA
Grenada,1985,NA
Guadeloupe,1985,NA
Guam,1985,NA
Guatemala,1985,NA
Guernsey,1985,NA
Guinea,1985,NA
Guinea-Bissau,1985,NA
Guyana,1985,NA
Haiti,1985,NA
Holy See,1985,NA
Honduras,1985,NA
"Hong Kong, China",1985,NA
Hungary,1985,NA
Iceland,1985,NA
India,1985,NA
Indonesia,1985,NA
Iran,1985,NA
Iraq,1985,NA
Ireland,1985,NA
Isle of Man,1985,NA
Israel,1985,NA
Italy,1985,NA
Jamaica,1985,NA
Japan,1985,NA
Jersey,1985,NA
Jordan,1985,NA
Kazakhstan,1985,NA
Kenya,1985,NA
Kiribati,1985,NA
North Korea,1985,NA
South Korea,1985,NA
"United Korea (former)
",1985,NA
Kosovo,1985,NA
Kuwait,1985,NA
Kyrgyz Republic,1985,NA
Lao,1985,NA
Latvia,1985,NA
Lebanon,1985,NA
Lesotho,1985,NA
Liberia,1985,NA
Libya,1985,NA
Liechtenstein,1985,NA
Lithuania,1985,NA
Luxembourg,1985,NA
"Macao, China",1985,NA
"Macedonia, FYR",1985,NA
Madagascar,1985,NA
Malawi,1985,NA
Malaysia,1985,NA
Maldives,1985,NA
Mali,1985,NA
Malta,1985,NA
Marshall Islands,1985,NA
Martinique,1985,NA
Mauritania,1985,NA
Mauritius,1985,NA
Mayotte,1985,NA
Mexico,1985,NA
"Micronesia, Fed. Sts.",1985,NA
Moldova,1985,NA
Monaco,1985,NA
Mongolia,1985,NA
Montenegro,1985,NA
Montserrat,1985,NA
Morocco,1985,NA
Mozambique,1985,NA
Myanmar,1985,0.01
Namibia,1985,NA
Nauru,1985,NA
Nepal,1985,0.01
Netherlands,1985,NA
Netherlands Antilles,1985,NA
New Caledonia,1985,NA
New Zealand,1985,NA
Ngorno-Karabakh,1985,NA
Nicaragua,1985,NA
Niger,1985,NA
Nigeria,1985,NA
Niue,1985,NA
Norfolk Island,1985,NA
Northern Cyprus,1985,NA
Northern Mariana Islands,1985,NA
Norway,1985,NA
Oman,1985,NA
Pakistan,1985,NA
Palau,1985,NA
Panama,1985,NA
Papua New Guinea,1985,NA
Paraguay,1985,NA
Peru,1985,NA
Philippines,1985,NA
Pitcairn,1985,NA
Poland,1985,NA
Portugal,1985,NA
Puerto Rico,1985,NA
Qatar,1985,NA
Reunion,1985,NA
Romania,1985,NA
Russia,1985,NA
Rwanda,1985,NA
St. BarthÃ©lemy,1985,NA
St. Helena,1985,NA
St. Kitts and Nevis,1985,NA
St. Lucia,1985,NA
St. Martin,1985,NA
St. Vincent and the Grenadines,1985,NA
St.-Pierre-et-Miquelon,1985,NA
Samoa,1985,NA
San Marino,1985,NA
Sao Tome and Principe,1985,NA
Saudi Arabia,1985,NA
Senegal,1985,NA
Serbia,1985,0.01
Serbia and Montenegro,1985,NA
Serbia excluding Kosovo,1985,NA
Seychelles,1985,NA
Sierra Leone,1985,0.011022285
Singapore,1985,NA
Slovak Republic,1985,NA
Slovenia,1985,NA
Solomon Islands,1985,NA
Somalia,1985,NA
Somaliland,1985,NA
South Africa,1985,NA
South Ossetia,1985,NA
Spain,1985,NA
Sri Lanka,1985,NA
Sudan,1985,NA
Suriname,1985,NA
Svalbard,1985,NA
Swaziland,1985,NA
Sweden,1985,NA
Switzerland,1985,0.054022769
Syria,1985,NA
Taiwan,1985,NA
Tajikistan,1985,NA
Tanzania,1985,NA
Thailand,1985,0.01
Timor-Leste,1985,NA
Togo,1985,NA
Tokelau,1985,NA
Tonga,1985,NA
Transnistria,1985,NA
Trinidad and Tobago,1985,NA
Tunisia,1985,NA
Turkey,1985,NA
Turkmenistan,1985,NA
Turks and Caicos Islands,1985,NA
Tuvalu,1985,NA
Uganda,1985,NA
Ukraine,1985,NA
United Arab Emirates,1985,NA
United Kingdom,1985,NA
United States,1985,NA
Uruguay,1985,NA
USSR,1985,NA
Uzbekistan,1985,NA
Wallis et Futuna,1985,NA
Vanuatu,1985,NA
Venezuela,1985,NA
West Bank and Gaza,1985,NA
West Germany,1985,NA
Western Sahara,1985,NA
Vietnam,1985,NA
Virgin Islands (U.S.),1985,NA
North Yemen (former),1985,NA
South Yemen (former),1985,NA
Yemen,1985,NA
Yugoslavia,1985,NA
Zambia,1985,NA
Zimbabwe,1985,NA
Ã…land,1985,NA
South Sudan,1985,NA
Christian,1985,NA
Coastline,1985,NA
CuraÃ§ao,1985,NA
Sint Maarten (Dutch part),1985,NA
St. Martin (French part),1985,NA
Antarctica,1985,NA
"Virgin Islands, British",1985,NA
Hawaiian Trade Zone,1985,NA
U.S. Pacific Islands,1985,NA
Wake Island,1985,NA
Bonaire,1985,NA
Sark,1985,NA
Chinese Taipei,1985,NA
Saint Eustatius,1985,NA
Saba,1985,NA
Abkhazia,1986,NA
Afghanistan,1986,NA
Akrotiri and Dhekelia,1986,NA
Albania,1986,NA
Algeria,1986,NA
American Samoa,1986,NA
Andorra,1986,NA
Angola,1986,NA
Anguilla,1986,NA
Antigua and Barbuda,1986,NA
Argentina,1986,NA
Armenia,1986,NA
Aruba,1986,NA
Australia,1986,NA
Austria,1986,NA
Azerbaijan,1986,NA
Bahamas,1986,NA
Bahrain,1986,NA
Bangladesh,1986,NA
Barbados,1986,NA
Belarus,1986,NA
Belgium,1986,NA
Belize,1986,NA
Benin,1986,NA
Bermuda,1986,NA
Bhutan,1986,NA
Bolivia,1986,NA
Bosnia and Herzegovina,1986,NA
Botswana,1986,NA
Brazil,1986,NA
British Virgin Islands,1986,NA
Brunei,1986,NA
Bulgaria,1986,NA
Burkina Faso,1986,NA
Burundi,1986,NA
Cambodia,1986,NA
Cameroon,1986,NA
Canada,1986,NA
Cape Verde,1986,NA
Cayman Islands,1986,NA
Central African Republic,1986,NA
Chad,1986,NA
Channel Islands,1986,NA
Chile,1986,NA
China,1986,NA
Christmas Island,1986,NA
Cocos Island,1986,NA
Colombia,1986,NA
Comoros,1986,NA
"Congo, Dem. Rep.",1986,NA
"Congo, Rep.",1986,NA
Cook Is,1986,NA
Costa Rica,1986,NA
Cote d'Ivoire,1986,NA
Croatia,1986,NA
Cuba,1986,NA
Cyprus,1986,NA
Czech Republic,1986,NA
Czechoslovakia,1986,NA
Denmark,1986,NA
Djibouti,1986,NA
Dominica,1986,NA
Dominican Republic,1986,NA
East Germany,1986,NA
Ecuador,1986,NA
Egypt,1986,NA
El Salvador,1986,NA
Equatorial Guinea,1986,NA
Eritrea,1986,NA
Eritrea and Ethiopia,1986,NA
Estonia,1986,NA
Ethiopia,1986,NA
Faeroe Islands,1986,NA
Falkland Is (Malvinas),1986,NA
Fiji,1986,NA
Finland,1986,NA
France,1986,NA
French Guiana,1986,NA
French Polynesia,1986,NA
Gabon,1986,NA
Gambia,1986,NA
Georgia,1986,NA
Germany,1986,NA
Ghana,1986,NA
Gibraltar,1986,NA
Greece,1986,NA
Greenland,1986,NA
Grenada,1986,NA
Guadeloupe,1986,NA
Guam,1986,NA
Guatemala,1986,NA
Guernsey,1986,NA
Guinea,1986,NA
Guinea-Bissau,1986,NA
Guyana,1986,NA
Haiti,1986,NA
Holy See,1986,NA
Honduras,1986,NA
"Hong Kong, China",1986,NA
Hungary,1986,NA
Iceland,1986,NA
India,1986,NA
Indonesia,1986,NA
Iran,1986,NA
Iraq,1986,NA
Ireland,1986,NA
Isle of Man,1986,NA
Israel,1986,NA
Italy,1986,NA
Jamaica,1986,NA
Japan,1986,NA
Jersey,1986,NA
Jordan,1986,NA
Kazakhstan,1986,NA
Kenya,1986,NA
Kiribati,1986,NA
North Korea,1986,NA
South Korea,1986,NA
"United Korea (former)
",1986,NA
Kosovo,1986,NA
Kuwait,1986,NA
Kyrgyz Republic,1986,NA
Lao,1986,NA
Latvia,1986,NA
Lebanon,1986,NA
Lesotho,1986,NA
Liberia,1986,NA
Libya,1986,NA
Liechtenstein,1986,NA
Lithuania,1986,NA
Luxembourg,1986,NA
"Macao, China",1986,NA
"Macedonia, FYR",1986,NA
Madagascar,1986,NA
Malawi,1986,NA
Malaysia,1986,NA
Maldives,1986,NA
Mali,1986,NA
Malta,1986,NA
Marshall Islands,1986,NA
Martinique,1986,NA
Mauritania,1986,NA
Mauritius,1986,NA
Mayotte,1986,NA
Mexico,1986,NA
"Micronesia, Fed. Sts.",1986,NA
Moldova,1986,NA
Monaco,1986,NA
Mongolia,1986,NA
Montenegro,1986,NA
Montserrat,1986,NA
Morocco,1986,NA
Mozambique,1986,NA
Myanmar,1986,NA
Namibia,1986,NA
Nauru,1986,NA
Nepal,1986,NA
Netherlands,1986,NA
Netherlands Antilles,1986,NA
New Caledonia,1986,NA
New Zealand,1986,0.01137169
Ngorno-Karabakh,1986,NA
Nicaragua,1986,0.00951034
Niger,1986,NA
Nigeria,1986,NA
Niue,1986,NA
Norfolk Island,1986,NA
Northern Cyprus,1986,NA
Northern Mariana Islands,1986,NA
Norway,1986,NA
Oman,1986,NA
Pakistan,1986,NA
Palau,1986,NA
Panama,1986,NA
Papua New Guinea,1986,NA
Paraguay,1986,NA
Peru,1986,NA
Philippines,1986,NA
Pitcairn,1986,NA
Poland,1986,NA
Portugal,1986,NA
Puerto Rico,1986,NA
Qatar,1986,NA
Reunion,1986,NA
Romania,1986,NA
Russia,1986,NA
Rwanda,1986,NA
St. BarthÃ©lemy,1986,NA
St. Helena,1986,NA
St. Kitts and Nevis,1986,NA
St. Lucia,1986,NA
St. Martin,1986,NA
St. Vincent and the Grenadines,1986,NA
St.-Pierre-et-Miquelon,1986,NA
Samoa,1986,NA
San Marino,1986,NA
Sao Tome and Principe,1986,NA
Saudi Arabia,1986,NA
Senegal,1986,NA
Serbia,1986,NA
Serbia and Montenegro,1986,NA
Serbia excluding Kosovo,1986,NA
Seychelles,1986,NA
Sierra Leone,1986,NA
Singapore,1986,NA
Slovak Republic,1986,NA
Slovenia,1986,NA
Solomon Islands,1986,NA
Somalia,1986,NA
Somaliland,1986,NA
South Africa,1986,NA
South Ossetia,1986,NA
Spain,1986,NA
Sri Lanka,1986,NA
Sudan,1986,NA
Suriname,1986,NA
Svalbard,1986,NA
Swaziland,1986,NA
Sweden,1986,NA
Switzerland,1986,NA
Syria,1986,NA
Taiwan,1986,NA
Tajikistan,1986,NA
Tanzania,1986,NA
Thailand,1986,NA
Timor-Leste,1986,NA
Togo,1986,NA
Tokelau,1986,NA
Tonga,1986,NA
Transnistria,1986,NA
Trinidad and Tobago,1986,NA
Tunisia,1986,NA
Turkey,1986,NA
Turkmenistan,1986,NA
Turks and Caicos Islands,1986,NA
Tuvalu,1986,NA
Uganda,1986,NA
Ukraine,1986,NA
United Arab Emirates,1986,NA
United Kingdom,1986,NA
United States,1986,NA
Uruguay,1986,NA
USSR,1986,NA
Uzbekistan,1986,NA
Wallis et Futuna,1986,NA
Vanuatu,1986,NA
Venezuela,1986,NA
West Bank and Gaza,1986,NA
West Germany,1986,NA
Western Sahara,1986,NA
Vietnam,1986,NA
Virgin Islands (U.S.),1986,NA
North Yemen (former),1986,NA
South Yemen (former),1986,NA
Yemen,1986,NA
Yugoslavia,1986,NA
Zambia,1986,NA
Zimbabwe,1986,NA
Ã…land,1986,NA
South Sudan,1986,NA
Christian,1986,NA
Coastline,1986,NA
CuraÃ§ao,1986,NA
Sint Maarten (Dutch part),1986,NA
St. Martin (French part),1986,NA
Antarctica,1986,NA
"Virgin Islands, British",1986,NA
Hawaiian Trade Zone,1986,NA
U.S. Pacific Islands,1986,NA
Wake Island,1986,NA
Bonaire,1986,NA
Sark,1986,NA
Chinese Taipei,1986,NA
Saint Eustatius,1986,NA
Saba,1986,NA
Abkhazia,1987,NA
Afghanistan,1987,NA
Akrotiri and Dhekelia,1987,NA
Albania,1987,NA
Algeria,1987,NA
American Samoa,1987,NA
Andorra,1987,NA
Angola,1987,NA
Anguilla,1987,NA
Antigua and Barbuda,1987,NA
Argentina,1987,NA
Armenia,1987,NA
Aruba,1987,NA
Australia,1987,NA
Austria,1987,NA
Azerbaijan,1987,NA
Bahamas,1987,NA
Bahrain,1987,NA
Bangladesh,1987,NA
